Feature,KS_Stat,P_Value,PSI,JS_Divergence,Drift_Alert,PSI_Status
current_mean,0.0906,0.6041,0.4458,0.1858,NO,Major
current_std,0.1336,0.1641,0.2912,0.2067,NO,Major
current_min,0.1162,0.2983,0.1187,0.174,NO,Moderate
current_max,0.1077,0.3869,0.2071,0.1942,NO,Major
current_rms,0.1336,0.1641,0.2912,0.2067,NO,Major
current_p2p,0.0803,0.745,0.2712,0.1611,NO,Major
current_kurt,0.1336,0.1641,0.0813,0.2379,NO,Stable
current_skew,0.1336,0.1641,0.1661,0.2045,NO,Moderate
current_crest,0.1302,0.1858,0.3101,0.2302,NO,Major
current_roll_std,0.0757,0.805,0.1119,0.1862,NO,Moderate
vib_x_mean,0.0766,0.7942,0.0813,0.2045,NO,Stable
vib_x_std,0.1411,0.1235,0.2438,0.1649,NO,Major
vib_x_min,0.1507,0.0841,0.19,0.1115,NO,Moderate
vib_x_max,0.1849,0.0173,0.4797,0.2417,YES,Major
vib_x_rms,0.1411,0.1235,0.2438,0.1649,NO,Major
vib_x_p2p,0.1406,0.126,0.1302,0.1498,NO,Moderate
vib_x_kurt,0.1348,0.157,0.3604,0.2256,NO,Major
vib_x_skew,0.1557,0.0682,0.5084,0.2579,NO,Major
vib_x_crest,0.1427,0.1163,0.4389,0.1274,NO,Major
vib_x_roll_std,0.113,0.3302,0.4631,0.2174,NO,Major
vib_y_mean,0.182,0.0201,0.5211,0.2767,YES,Major
vib_y_std,0.3336,0.0,0.5691,0.2819,YES,Major
vib_y_min,0.2471,0.0004,0.3425,0.2283,YES,Major
vib_y_max,0.2298,0.0013,0.5127,0.2249,YES,Major
vib_y_rms,0.3336,0.0,0.5691,0.2819,YES,Major
vib_y_p2p,0.2579,0.0002,0.45,0.274,YES,Major
vib_y_kurt,0.2319,0.0012,0.439,0.2491,YES,Major
vib_y_skew,0.2227,0.0021,0.5307,0.26,YES,Major
vib_y_crest,0.196,0.0097,1.1521,0.26,YES,Major
vib_y_roll_std,0.1581,0.0615,0.3056,0.2269,NO,Major
vib_z_mean,0.228,0.0015,0.5612,0.2724,YES,Major
vib_z_std,0.2698,0.0001,0.3768,0.2479,YES,Major
vib_z_min,0.1425,0.1171,0.1634,0.2006,NO,Moderate
vib_z_max,0.2343,0.001,0.8445,0.2731,YES,Major
vib_z_rms,0.2698,0.0001,0.3768,0.2479,YES,Major
vib_z_p2p,0.1854,0.0169,0.3291,0.2074,YES,Major
vib_z_kurt,0.2244,0.0019,0.2553,0.3028,YES,Major
vib_z_skew,0.2355,0.0009,0.4026,0.2464,YES,Major
vib_z_crest,0.1357,0.1521,0.2427,0.1523,NO,Major
vib_z_roll_std,0.141,0.1243,0.2961,0.238,NO,Major
volt_a_mean,0.2057,0.0056,0.4084,0.1681,YES,Major
volt_a_std,0.3132,0.0,0.4052,0.2342,YES,Major
volt_a_min,0.3319,0.0,0.8536,0.2893,YES,Major
volt_a_max,0.2948,0.0,0.511,0.2942,YES,Major
volt_a_rms,0.3004,0.0,0.4052,0.2334,YES,Major
volt_a_p2p,0.3172,0.0,0.4559,0.2919,YES,Major
volt_a_kurt,0.0952,0.5414,0.1953,0.1662,NO,Moderate
volt_a_skew,0.2642,0.0001,0.7903,0.2663,YES,Major
volt_a_crest,0.1519,0.08,0.2645,0.1593,NO,Major
volt_a_roll_std,0.326,0.0,1.4907,0.3228,YES,Major
volt_b_mean,0.1671,0.041,0.2318,0.1212,YES,Major
volt_b_std,0.1516,0.0812,0.2721,0.1204,NO,Major
volt_b_min,0.2114,0.0041,0.0351,0.0908,YES,Stable
volt_b_max,0.1304,0.1847,0.3613,0.1823,NO,Major
volt_b_rms,0.1466,0.0995,0.2806,0.1343,NO,Major
volt_b_p2p,0.1699,0.0361,0.0909,0.1635,YES,Stable
volt_b_kurt,0.2635,0.0001,0.444,0.2462,YES,Major
volt_b_skew,0.0936,0.562,0.2858,0.1219,NO,Major
volt_b_crest,0.1627,0.0502,0.5897,0.2589,NO,Major
volt_b_roll_std,0.2948,0.0,0.5146,0.2755,YES,Major
volt_c_mean,0.136,0.1502,0.3878,0.1365,NO,Major
volt_c_std,0.3577,0.0,0.6392,0.2869,YES,Major
volt_c_min,0.3129,0.0,0.7513,0.2906,YES,Major
volt_c_max,0.3098,0.0,0.8754,0.2716,YES,Major
volt_c_rms,0.3539,0.0,0.6357,0.2832,YES,Major
volt_c_p2p,0.339,0.0,0.822,0.3047,YES,Major
volt_c_kurt,0.2532,0.0003,0.5287,0.254,YES,Major
volt_c_skew,0.12,0.2642,0.1441,0.1693,NO,Moderate
volt_c_crest,0.3267,0.0,0.4786,0.2798,YES,Major
volt_c_roll_std,0.1593,0.0584,0.3244,0.2642,NO,Major
volt_d_mean,0.1861,0.0163,0.31,0.2476,YES,Major
volt_d_std,0.2247,0.0018,0.5241,0.2314,YES,Major
volt_d_min,0.1897,0.0135,0.6789,0.2301,YES,Major
volt_d_max,0.2006,0.0075,0.4469,0.2088,YES,Major
volt_d_rms,0.2247,0.0018,0.5241,0.2314,YES,Major
volt_d_p2p,0.1897,0.0135,0.5069,0.2178,YES,Major
volt_d_kurt,0.2532,0.0003,0.1998,0.189,YES,Moderate
volt_d_skew,0.1878,0.0149,0.3225,0.2029,YES,Major
volt_d_crest,0.1916,0.0122,0.4128,0.2178,YES,Major
volt_d_roll_std,0.2006,0.0075,0.4551,0.2465,YES,Major
